date,time,sec_dur
"12-28-15  ","10:49     ",547
"12-28-15  ","10:49     ",58
"12-28-15  ","10:49     ",558
"12-28-15  ","10:49     ",636
"12-28-15  ","10:49     ",1852
"12-28-15  ","10:49     ",140
"12-28-15  ","10:49     ",573
"12-28-15  ","10:49     ",176
"12-28-15  ","10:49     ",209
"12-28-15  ","10:49     ",36
"12-28-15  ","10:49     ",7
"12-28-15  ","10:50     ",15
"12-28-15  ","10:50     ",2
"12-28-15  ","10:50     ",586
"12-28-15  ","10:50     ",60
"12-28-15  ","10:50     ",12
"12-28-15  ","10:50     ",108
"12-28-15  ","10:50     ",593
"12-28-15  ","10:50     ",72
"12-28-15  ","10:51     ",1285
"12-28-15  ","10:51     ",627
"12-28-15  ","10:51     ",188
"12-28-15  ","10:51     ",172
"12-28-15  ","10:51     ",742
"12-28-15  ","10:51     ",841
"12-28-15  ","10:52     ",30
"12-28-15  ","10:52     ",690
"12-28-15  ","10:52     ",309
"12-28-15  ","10:52     ",253
"12-28-15  ","10:52     ",1701
"12-28-15  ","10:52     ",418
"12-28-15  ","10:52     ",41
"12-28-15  ","10:52     ",304
"12-28-15  ","10:52     ",115
"12-28-15  ","10:52     ",30
"12-28-15  ","10:52     ",432
"12-28-15  ","10:52     ",495
"12-28-15  ","10:53     ",140
"12-28-15  ","10:53     ",57
"12-28-15  ","10:53     ",1
"12-28-15  ","10:53     ",614
"12-28-15  ","10:53     ",141
"12-28-15  ","10:53     ",803
"12-28-15  ","10:53     ",1190
"12-28-15  ","10:53     ",638
"12-28-15  ","10:53     ",446
"12-28-15  ","10:53     ",102
"12-28-15  ","10:53     ",141
"12-28-15  ","10:53     ",253
"12-28-15  ","10:53     ",765
"12-28-15  ","10:54     ",461
"12-28-15  ","10:54     ",1219
"12-28-15  ","10:54     ",991
"12-28-15  ","10:54     ",106
"12-28-15  ","10:54     ",845
"12-28-15  ","10:54     ",39
"12-28-15  ","10:54     ",184
"12-28-15  ","10:54     ",183
"12-28-15  ","10:54     ",32
"12-28-15  ","10:54     ",132
"12-28-15  ","10:55     ",518
"12-28-15  ","10:55     ",141
"12-28-15  ","10:55     ",132
"12-28-15  ","10:55     ",6
"12-28-15  ","10:55     ",774
"12-28-15  ","10:55     ",27
"12-28-15  ","10:55     ",459
"12-28-15  ","10:55     ",123
"12-28-15  ","10:55     ",288
"12-28-15  ","10:56     ",610
"12-28-15  ","10:56     ",1738
"12-28-15  ","10:56     ",225
"12-28-15  ","10:56     ",532
"12-28-15  ","10:56     ",141
"12-28-15  ","10:56     ",419
"12-28-15  ","10:56     ",981
"12-28-15  ","10:56     ",605
"12-28-15  ","10:56     ",1016
"12-28-15  ","10:56     ",325
"12-28-15  ","10:56     ",140
"12-28-15  ","10:56     ",1635
"12-28-15  ","10:57     ",2355
"12-28-15  ","10:57     ",459
"12-28-15  ","10:57     ",49
"12-28-15  ","10:57     ",1341
"12-28-15  ","10:57     ",408
"12-28-15  ","10:57     ",94
"12-28-15  ","10:57     ",90
"12-28-15  ","10:57     ",877
"12-28-15  ","10:58     ",952
"12-28-15  ","10:58     ",324
"12-28-15  ","10:58     ",597
"12-28-15  ","10:58     ",637
"12-28-15  ","10:58     ",204
"12-28-15  ","10:58     ",218
"12-28-15  ","10:58     ",182
"12-28-15  ","10:58     ",109
"12-28-15  ","10:58     ",878
"12-28-15  ","10:58     ",630
"12-28-15  ","10:58     ",1060
"12-28-15  ","10:58     ",539
"12-28-15  ","10:58     ",239
"12-28-15  ","10:58     ",45
"12-28-15  ","10:59     ",1108
"12-28-15  ","10:59     ",126
"12-28-15  ","10:59     ",144
"12-28-15  ","10:59     ",16
"12-28-15  ","10:59     ",24
"12-28-15  ","10:59     ",109
"12-28-15  ","10:59     ",15
"12-28-15  ","10:59     ",1180
"12-28-15  ","10:59     ",393
"12-28-15  ","10:59     ",89
"12-28-15  ","11:00     ",41
"12-28-15  ","11:00     ",735
"12-28-15  ","11:00     ",61
"12-28-15  ","11:01     ",120
"12-28-15  ","11:01     ",1129
"12-28-15  ","11:01     ",12
"12-28-15  ","11:01     ",824
"12-28-15  ","11:01     ",1085
"12-28-15  ","11:01     ",97
"12-28-15  ","11:01     ",993
"12-28-15  ","11:02     ",637
"12-28-15  ","11:02     ",141
"12-28-15  ","11:02     ",464
"12-28-15  ","11:02     ",152
"12-28-15  ","11:03     ",141
"12-28-15  ","11:03     ",1
"12-28-15  ","11:03     ",208
"12-28-15  ","11:03     ",243
"12-28-15  ","11:03     ",1
"12-28-15  ","11:03     ",2006
"12-28-15  ","11:03     ",635
"12-28-15  ","11:03     ",115
"12-28-15  ","11:04     ",80
"12-28-15  ","11:04     ",607
"12-28-15  ","11:04     ",774
"12-28-15  ","11:04     ",37
"12-28-15  ","11:04     ",10
"12-28-15  ","11:05     ",136
"12-28-15  ","11:05     ",246
"12-28-15  ","11:05     ",609
"12-28-15  ","11:05     ",142
"12-28-15  ","11:05     ",884
"12-28-15  ","11:05     ",128
"12-28-15  ","11:05     ",157
"12-28-15  ","11:05     ",578
"12-28-15  ","11:05     ",360
"12-28-15  ","11:05     ",300
"12-28-15  ","11:05     ",976
"12-28-15  ","11:05     ",1214
"12-28-15  ","11:05     ",140
"12-28-15  ","11:05     ",141
"12-28-15  ","11:06     ",1546
"12-28-15  ","11:06     ",182
"12-28-15  ","11:06     ",827
"12-28-15  ","11:06     ",674
"12-28-15  ","11:06     ",449
"12-28-15  ","11:06     ",83
"12-28-15  ","11:06     ",453
"12-28-15  ","11:06     ",966
"12-28-15  ","11:06     ",136
"12-28-15  ","11:06     ",230
"12-28-15  ","11:06     ",319
"12-28-15  ","11:07     ",494
"12-28-15  ","11:07     ",140
"12-28-15  ","11:07     ",498
"12-28-15  ","11:07     ",140
"12-28-15  ","11:07     ",99
"12-28-15  ","11:07     ",150
"12-28-15  ","11:07     ",734
"12-28-15  ","11:07     ",864
"12-28-15  ","11:07     ",259
"12-28-15  ","11:08     ",12
"12-28-15  ","11:08     ",420
"12-28-15  ","11:08     ",51
"12-28-15  ","11:08     ",36
"12-28-15  ","11:08     ",150
"12-28-15  ","11:08     ",751
"12-28-15  ","11:08     ",578
"12-28-15  ","11:08     ",656
"12-28-15  ","11:08     ",231
"12-28-15  ","11:09     ",340
"12-28-15  ","11:09     ",140
"12-28-15  ","11:09     ",252
"12-28-15  ","11:09     ",53
"12-28-15  ","11:09     ",104
"12-28-15  ","11:09     ",856
"12-28-15  ","11:09     ",855
"12-28-15  ","11:09     ",818
"12-28-15  ","11:09     ",140
"12-28-15  ","11:09     ",140
"12-28-15  ","11:10     ",29
"12-28-15  ","11:10     ",681
"12-28-15  ","11:10     ",442
"12-28-15  ","11:10     ",404
"12-28-15  ","11:10     ",865
"12-28-15  ","11:10     ",750
"12-28-15  ","11:10     ",21
"12-28-15  ","11:10     ",88
"12-28-15  ","11:10     ",1055
"12-28-15  ","11:10     ",1211
"12-28-15  ","11:11     ",8
"12-28-15  ","11:11     ",141
"12-28-15  ","11:11     ",560
"12-28-15  ","11:11     ",141
"12-28-15  ","11:11     ",1108
"12-28-15  ","11:11     ",313
"12-28-15  ","11:11     ",36
"12-28-15  ","11:11     ",191
"12-28-15  ","11:12     ",138
"12-28-15  ","11:12     ",494
"12-28-15  ","11:12     ",513
"12-28-15  ","11:12     ",140
"12-28-15  ","11:12     ",1520
"12-28-15  ","11:12     ",325
"12-28-15  ","11:12     ",208
"12-28-15  ","11:12     ",1160
"12-28-15  ","11:13     ",370
"12-28-15  ","11:13     ",95
"12-28-15  ","11:13     ",208
"12-28-15  ","11:13     ",47
"12-28-15  ","11:13     ",1157
"12-28-15  ","11:13     ",1591
"12-28-15  ","11:13     ",1211
"12-28-15  ","11:13     ",371
"12-28-15  ","11:13     ",786
"12-28-15  ","11:13     ",105
"12-28-15  ","11:13     ",620
"12-28-15  ","11:13     ",1012
"12-28-15  ","11:13     ",141
"12-28-15  ","11:13     ",1163
"12-28-15  ","11:13     ",21
"12-28-15  ","11:14     ",894
"12-28-15  ","11:14     ",845
"12-28-15  ","11:14     ",11
"12-28-15  ","11:14     ",27
"12-28-15  ","11:14     ",128
"12-28-15  ","11:14     ",30
"12-28-15  ","11:14     ",1397
"12-28-15  ","11:14     ",100
"12-28-15  ","11:15     ",141
"12-28-15  ","11:15     ",290
"12-28-15  ","11:15     ",1925
"12-28-15  ","11:15     ",161
"12-28-15  ","11:15     ",623
"12-28-15  ","11:15     ",569
"12-28-15  ","11:15     ",967
"12-28-15  ","11:15     ",624
"12-28-15  ","11:15     ",448
"12-28-15  ","11:16     ",60
"12-28-15  ","11:16     ",1193
